x,y
1262.50,0.062
1275.00,0.067
1287.50,0.081
1300.00,0.087
1312.50,0.095
1325.00,0.113
1337.50,0.123
1350.00,0.132
1362.50,0.149
1375.00,0.168
1387.50,0.182
1400.00,0.193
1412.50,0.227
1425.00,0.240
1437.50,0.258
1450.00,0.303
1462.50,0.321
1475.00,0.340
1487.50,0.378
1500.00,0.420
1512.50,0.447
1525.00,0.466
1537.50,0.542
1550.00,0.564
1562.50,0.597
1575.00,0.691
1587.50,0.724
1600.00,0.756
1612.50,0.830
1625.00,0.910
1637.50,0.958
1650.00,0.986
1662.50,1.133
1675.00,1.165
1687.50,1.221
1700.00,1.398
1712.50,1.448
1725.00,1.498
1737.50,1.628
1750.00,1.766
1762.50,1.841
1775.00,1.877
1787.50,2.137
1800.00,2.178
1812.50,2.261
1825.00,2.567
1837.50,2.637
1850.00,2.704
1862.50,2.915
1875.00,3.138
1887.50,3.245
1900.00,3.283
1912.50,3.710
1925.00,3.754
1937.50,3.868
1950.00,4.360
1962.50,4.448
1975.00,4.531
1987.50,4.851
2000.00,5.188
2012.50,5.331
2025.00,5.360
2037.50,6.020
2050.00,6.053
2062.50,6.201
2075.00,6.948
2087.50,7.048
2100.00,7.139
2112.50,7.601
2125.00,8.086
2137.50,8.264
2150.00,8.265
2162.50,9.235
2175.00,9.239
2187.50,9.419
2200.00,10.502
2212.50,10.602
2225.00,10.689
2237.50,11.328
2250.00,11.996
2262.50,12.204
2275.00,12.153
2287.50,13.521
2300.00,13.470
2312.50,13.674
2325.00,15.184
2337.50,15.267
2350.00,15.330
2362.50,16.184
2375.00,17.072
2387.50,17.303
2400.00,17.167
2412.50,19.028
2425.00,18.888
2437.50,19.107
2450.00,21.143
2462.50,21.185
2475.00,21.201
2487.50,22.307
2500.00,23.453
