x,y
10.0,1742.83960000
20.0,1672.66455000
30.0,1793.80444000
40.0,1723.03174000
50.0,1686.82446000
60.0,1806.72119000
70.0,1752.50024000
80.0,1698.09058000
90.0,1730.02173000
100.0,1761.51709000
110.0,1723.61279000
120.0,1651.13037000
130.0,1767.39966000
140.0,1694.47998000
150.0,1655.74097000
160.0,1770.06152000
170.0,1713.66187000
180.0,1657.26538000
190.0,1685.15894000
200.0,1712.48828000
210.0,1672.34106000
220.0,1598.83325000
230.0,1707.98828000
240.0,1634.20337000
250.0,1593.57373000
260.0,1700.07568000
270.0,1642.45825000
280.0,1585.03613000
290.0,1608.25122000
300.0,1630.77368000
310.0,1589.02441000
320.0,1515.77295000
330.0,1615.57104000
340.0,1542.20264000
350.0,1500.32324000
360.0,1596.76294000
370.0,1538.88892000
380.0,1481.40308000
390.0,1499.29858000
400.0,1516.37354000
410.0,1473.66284000
420.0,1401.94922000
430.0,1490.14722000
440.0,1418.47729000
450.0,1375.98901000
460.0,1460.12354000
470.0,1402.95483000
480.0,1346.36572000
490.0,1358.30103000
500.0,1369.28760000
510.0,1326.25610000
520.0,1257.36304000
530.0,1331.71729000
540.0,1263.02734000
550.0,1220.57129000
560.0,1290.15747000
570.0,1234.65479000
580.0,1179.92456000
590.0,1185.25879000
600.0,1189.51562000
610.0,1146.80493000
620.0,1082.01318000
630.0,1140.28125000
640.0,1075.85327000
650.0,1034.07007000
660.0,1086.86499000
670.0,1033.98975000
680.0,982.07983400
690.0,980.17138700
700.0,977.05810500
710.0,935.30859400
720.0,875.90039100
730.0,915.83862300
740.0,856.95459000
750.0,816.48535200
760.0,850.24536100
770.0,800.95947300
780.0,752.83056600
790.0,743.03930700
800.0,731.91455100
810.0,691.76757800
820.0,639.02465800
830.0,658.39013700
840.0,606.33178700
850.0,567.81689500
860.0,580.29907200
870.0,535.56372100
880.0,492.17749000
890.0,473.86230500
900.0,454.08544900
910.0,416.18139600
920.0,371.38574200
930.0,367.93530300
940.0,323.98413100
950.0,288.06518600
960.0,277.02636700
970.0,237.80293300
980.0,200.12042200
990.0,172.64038100
1000.0,143.57084700
