x,y
0.25,0.57
0.50,1.43
0.75,2.54
1.00,4.51
1.25,7.47
1.50,11.79
1.75,18.11
2.00,23.48
2.25,32.60
2.50,44.90
2.75,59.76
3.00,78.66
3.25,97.83
3.50,123.34
3.75,149.06
4.00,169.34
4.25,208.19
4.50,248.42
4.75,276.75
5.00,334.97
5.25,378.98
5.50,452.19
5.75,525.57
6.00,550.57
6.25,608.42
6.50,755.27
6.75,844.66
7.00,896.07
7.25,1014.34
7.50,1154.81
7.75,1273.04
8.00,1265.86
8.25,1474.86
8.50,1532.14
8.75,1757.30
9.00,1816.56
9.25,2155.94
9.50,2200.98
9.75,2354.26
10.00,2694.43
10.25,2761.04
10.50,2847.09
10.75,3150.76
11.00,3409.11
11.25,3756.29
11.50,3814.59
11.75,4403.26
12.00,4376.60
12.25,4654.83
12.50,5045.53
12.75,5460.35
13.00,5389.66
13.25,5765.67
13.50,6541.78
13.75,6575.40
14.00,7010.39
14.25,7540.96
14.50,8258.38
14.75,8443.49
15.00,8443.80
15.25,9237.89
15.50,9986.70
15.75,9570.02
16.00,10137.60
16.25,10840.48
16.50,11115.92
16.75,11627.86
17.00,13168.24
17.25,13492.12
17.50,13257.59
17.75,14841.56
18.00,14875.42
18.25,16442.40
18.50,15495.22
18.75,17149.72
19.00,16960.46
19.25,19107.60
19.50,19096.79
19.75,19641.28
20.00,21425.66
20.25,22451.94
20.50,21518.01
20.75,23003.98
21.00,22890.67
21.25,24952.21
21.50,25074.62
21.75,25163.84
22.00,27685.23
22.25,29205.85
22.50,28147.88
22.75,29701.75
23.00,32256.54
23.25,33642.25
23.50,33736.04
23.75,36202.28
24.00,35933.38
24.25,36699.97
24.50,38224.16
24.75,38234.75
25.00,38197.84
