x,y
33,55
33,55
33,57
34,55
32,54
33,52
32,53
34,52
32,50
33,51
33,48
34,48
33,47
32,46
33,45
34,46
32,47
34,43
34,45
33,44
34,43
33,41
33,40
35,40
33,40
34,39
35,37
34,37
34,36
34,34
32,34
33,35
35,35
34,34
34,32
34,32
34,31
34,31
34,28
34,29
35,27
34,27
33,27
34,25
35,25
34,25
34,23
35,23
34,21
34,23
34,21
34,20
34,20
34,20
35,20
35,19
35,19
34,18
35,16
34,15
36,15
34,15
35,14
34,14
34,12
35,12
35,11
35,11
36,11
36,8
33,8
35,10
35,7
36,8
36,7
35,7
35,4
35,4
35,5
35,6
35,3
35,1
35,2
35,2
35,2
35,3
35,2
35,-1
36,1
36,0
35,0
35,-1
36,-1
37,-1
35,-2
36,-1
36,-2
35,-5
35,-5
36,-3
37,-1
36,-5
36,-5
37,-5
35,-4
35,-5
36,-5
36,-5
36,-5
36,-9
36,-8
37,-8
37,-5
36,-5
1,0
2,1
0,0
1,1
1,2
3,1
1,2
0,0
2,-1
2,1
1,2
1,0
1,1
2,0
2,1
2,2
2,0
2,1
1,1
0,1
1,1
1,0
2,0
1,0
1,1
0,0
2,-1
1,-1
1,0
2,0
2,1
0,-1
1,0
0,-1
2,1
2,1
2,-1
0,0
2,1
2,-1
1,1
2,0
2,-1
2,-1
1,-1
2,1
1,0
1,0
2,-1
0,1
1,-1
2,2
2,1
0,-2
0,-1
1,2
1,0
1,2
0,1
1,2
2,-1
1,2
0,-1
0,-2
2,1
0,0
2,0
2,-1
2,-1
2,0
2,1
2,0
1,0
1,-1
1,2
2,0
1,0
1,0
1,-1
1,2
1,2
2,1
2,2
3,-1
1,1
1,1
0,-1
1,1
2,0
1,-1
2,-1
1,0
1,-2
1,0
0,0
1,-1
2,0
2,-1
1,-1
0,-1
2,0
1,0
1,-1
2,0
2,2
1,0
2,0
2,1
1,-1
1,0
1,-1
1,1
0,-1
2,2
1,-1
2,-1
0,1
1,0
1,0
1,-1
1,1
1,2
1,2
1,-2
1,-1
1,1
2,0
0,1
1,-1
0,0
2,-1
1,-1
1,0
1,1
2,0
2,1
1,-1
0,1
1,1
1,0
1,-1
0,1
2,0
0,-1
1,-1
2,-1
1,0
1,2
2,-1
0,-1
1,-1
1,0
1,1
2,-1
1,-1
1,-1
0,2
1,-1
1,-1
1,0
1,0
0,0
1,0
1,-1
0,-1
2,-1
1,-1
1,-1
2,-1
2,-1
2,1
2,-1
2,0
2,-1
2,1
2,0
1,-1
-1,0
2,0
2,-2
1,1
1,1
2,1
0,1
2,-1
0,2
1,1
0,0
2,-1
1,-1
0,1
1,0
1,1
2,3
1,1
0,1
0,0
2,1
0,-1
0,1
1,-1
2,-1
2,1
2,0
0,-1
2,1
0,-1
0,-1
2,0
2,1
1,1
1,-1
1,-1
1,-1
0,0
2,-1
2,-1
1,-1
0,2
1,1
0,1
2,-1
1,-1
0,1
1,-1
0,2
1,1
2,0
2,-1
0,0
0,1
0,3
0,1
0,-1
1,1
1,-1
0,0
1,1
1,1
1,-1
1,1
2,1
2,0
0,1
0,0
0,1
2,0
2,3
1,-1
1,-2
2,-7
2,-5
1,-3
3,-4
2,-5
1,-4
1,-3
3,-1
2,-1
2,-1
1,-1
1,0
2,-1
2,-1
1,0
