thickness,count
0.001,9984.230
0.002,9114.047
0.003,9298.281
0.004,8498.184
0.005,7917.504
0.006,8071.891
0.007,7453.988
0.008,6877.312
0.009,6672.957
0.010,6472.078
0.011,6033.500
0.012,5507.641
0.013,5618.977
0.014,5135.477
0.015,4784.570
0.016,4877.863
0.017,4504.465
0.018,4155.980
0.019,4032.488
0.020,3911.099
0.021,3646.065
0.022,3328.288
0.023,3395.566
0.024,3103.387
0.025,2891.331
0.026,2947.709
0.027,2722.065
0.028,2511.473
0.029,2436.844
0.030,2363.487
0.031,2203.326
0.032,2011.293
0.033,2051.951
0.034,1875.384
0.035,1747.239
0.036,1781.310
0.037,1644.951
0.038,1517.689
0.039,1472.591
0.040,1428.263
0.041,1331.476
0.042,1215.431
0.043,1240.000
0.044,1133.300
0.045,1055.862
0.046,1076.450
0.047,994.048
0.048,917.144
0.049,889.892
0.050,863.103
0.051,804.614
0.052,734.488
0.053,749.335
0.054,684.856
0.055,638.060
0.056,650.502
0.057,600.706
0.058,554.233
0.059,537.764
0.060,521.575
0.061,486.231
0.062,443.853
0.063,452.826
0.064,413.861
0.065,385.582
0.066,393.100
0.067,363.009
0.068,334.925
0.069,324.973
0.070,315.189
0.071,293.831
0.072,268.222
0.073,273.644
0.074,250.098
0.075,233.008
0.076,237.552
0.077,219.367
0.078,202.396
0.079,196.382
0.080,190.470
0.081,177.563
0.082,162.087
0.083,165.364
0.084,151.134
0.085,140.807
0.086,143.553
0.087,132.564
0.088,122.309
0.089,118.674
0.090,115.102
0.091,107.302
0.092,97.950
0.093,99.930
0.094,91.331
0.095,85.090
0.096,86.750
0.097,80.109
0.098,73.911
0.099,71.715
0.100,69.556
