x,y
0.250,0.00000
0.500,0.00002
0.750,0.00008
1.000,0.00019
1.250,0.00037
1.500,0.00069
1.750,0.00106
2.000,0.00153
2.250,0.00223
2.500,0.00312
2.750,0.00407
3.000,0.00507
3.250,0.00692
3.500,0.00830
3.750,0.01000
4.000,0.01302
4.250,0.01516
4.500,0.01747
4.750,0.02096
5.000,0.02494
5.250,0.02830
5.500,0.03124
5.750,0.03830
6.000,0.04182
6.250,0.04632
6.500,0.05586
6.750,0.06075
7.000,0.06574
7.250,0.07453
7.500,0.08416
7.750,0.09104
8.000,0.09613
8.250,0.11312
8.500,0.11891
8.750,0.12709
9.000,0.14828
9.250,0.15634
9.500,0.16433
9.750,0.18128
10.000,0.19949
10.250,0.21062
10.500,0.21735
10.750,0.25026
11.000,0.25771
11.250,0.27012
11.500,0.30935
11.750,0.32045
12.000,0.33120
12.250,0.35953
12.500,0.38963
12.750,0.40537
13.000,0.41250
13.250,0.46861
13.500,0.47639
13.750,0.49318
14.000,0.55814
14.250,0.57160
14.500,0.58432
14.750,0.62763
15.000,0.67328
15.250,0.69364
15.500,0.69918
15.750,0.78705
16.000,0.79309
16.250,0.81406
16.500,0.91371
16.750,0.92830
17.000,0.94167
17.250,1.00390
17.500,1.06915
17.750,1.09375
18.000,1.09500
18.250,1.22447
18.500,1.22595
18.750,1.25055
19.000,1.39514
19.250,1.40909
19.500,1.42120
19.750,1.50669
20.000,1.59593
20.250,1.62405
20.500,1.61755
20.750,1.79976
21.000,1.79315
21.250,1.82043
21.500,2.02150
21.750,2.03246
22.000,2.04088
22.250,2.15434
22.500,2.27233
22.750,2.30287
23.000,2.28444
23.250,2.53181
23.500,2.51283
23.750,2.54148
24.000,2.81185
24.250,2.81696
24.500,2.81870
24.750,2.96517
25.000,3.11706
